name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,adaptive_var_iter,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
quiescence_0000,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,5,0.25,289.3,327.26666666666665,606.0333333333333,281.06666666666666,322.3666666666666,435.23333333333335,484.0,578.6666666666666,1080.3333333333333,551.6666666666666,832.6666666666666,1469.3333333333333,267.6666666666667,299.3333333333333,553.3333333333334,251.0,265.6666666666667,320.3333333333333,9.767847776412964,24.65118940671285,80.7792854309082,20.518935759862263,65.28792667388916,89.79992270469666
quiescence_0001,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,5,0.5,288.8333333333333,338.56666666666666,620.8000000000001,281.2,321.4333333333333,434.93333333333334,485.3333333333333,574.6666666666666,1102.0,553.0,880.3333333333334,1418.3333333333333,267.0,312.3333333333333,567.3333333333334,251.0,259.3333333333333,325.6666666666667,10.051457246144613,25.187309741973877,66.1602767308553,22.09537124633789,66.70583073298137,102.25466473897298
quiescence_0002,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,5,0.75,289.0333333333333,326.76666666666665,636.5666666666667,280.7,323.7,433.9333333333332,484.3333333333333,558.6666666666666,1127.6666666666667,542.0,879.0,1456.3333333333333,267.3333333333333,301.0,582.0,251.66666666666666,262.0,320.3333333333333,7.520558913548787,22.89006169637044,34.426796754201256,23.4939124584198,46.37062939008077,84.51137820879619
quiescence_0003,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,5,1.0,288.9666666666667,320.06666666666666,569.5333333333333,281.06666666666666,311.3333333333333,428.0333333333333,483.6666666666667,560.6666666666666,1012.3333333333334,551.6666666666666,722.3333333333334,1388.3333333333333,267.3333333333333,293.3333333333333,520.3333333333334,251.0,265.6666666666667,321.3333333333333,6.481677214304606,22.487149238586426,30.507151047388714,14.070605198542276,49.83476972579956,71.81255722045898
quiescence_0004,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,10,0.25,288.6333333333334,311.0,579.9666666666667,280.9666666666667,312.6666666666667,426.43333333333334,483.3333333333333,539.0,1011.6666666666666,550.6666666666666,723.6666666666666,1462.3333333333333,267.0,285.6666666666667,532.0,251.0,267.0,311.3333333333333,12.987892945607504,24.767886956532795,48.94239465395609,22.821150700251263,56.72602931658427,100.23582275708516
quiescence_0005,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,10,0.5,288.6333333333334,322.06666666666666,535.4666666666667,280.93333333333334,306.73333333333335,416.8333333333333,483.3333333333333,556.6666666666666,947.6666666666666,550.3333333333334,721.3333333333334,1378.3333333333333,267.0,296.0,489.6666666666667,251.0,260.6666666666667,310.0,14.26396894454956,22.27535621325175,48.498120069503784,26.90036090215047,54.14700404802958,97.43216172854106
quiescence_0006,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,10,0.75,289.26666666666665,313.6,566.1333333333333,280.93333333333334,309.76666666666665,410.6333333333334,480.6666666666667,562.0,1014.3333333333334,550.3333333333334,694.6666666666666,1415.3333333333333,268.0,286.0,516.3333333333334,251.0,267.0,299.0,11.411731402079264,25.16875370343526,50.28818337122599,24.296485265096027,53.27870567639669,100.55997800827026
quiescence_0007,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,10,1.0,288.6666666666667,310.8333333333333,556.1999999999999,280.96666666666664,313.46666666666664,420.3999999999999,483.6666666666667,543.3333333333334,993.0,550.6666666666666,761.6666666666666,1387.0,267.0,285.0,507.6666666666667,251.0,263.6666666666667,313.0,12.218839804331461,23.652830839157104,49.39359895388285,21.52897834777832,56.28166341781616,103.30600794156392
quiescence_0008,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,20,0.25,288.6333333333334,313.76666666666665,498.1666666666667,280.6333333333333,310.3333333333333,409.09999999999997,483.3333333333333,554.6666666666666,898.6666666666666,541.3333333333334,766.3333333333334,1400.0,267.0,287.0,453.6666666666667,251.66666666666666,259.6666666666667,299.0,18.174444516499836,26.030587037404377,50.51244115829468,33.44025460879008,58.41122555732727,102.52587223052979
quiescence_0009,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,20,0.5,288.6333333333334,312.26666666666665,595.3000000000001,280.6333333333333,304.56666666666666,401.29999999999995,483.3333333333333,545.6666666666666,1048.0,541.3333333333334,690.6666666666666,1343.0,267.0,286.3333333333333,545.0,251.66666666666666,261.6666666666667,296.6666666666667,17.328121423721313,25.813751538594563,50.50037042299906,33.40960121154785,55.03443988164266,99.04278532663982
quiescence_0010,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,20,0.75,288.6333333333334,310.6333333333334,546.8,281.0333333333333,313.8333333333333,407.06666666666666,483.3333333333333,523.3333333333334,968.0,551.3333333333334,801.3333333333334,1370.6666666666667,267.0,287.0,500.0,251.0,259.6666666666667,300.0,17.712700446446735,24.561612606048584,49.51615754763285,33.2602022488912,58.316861391067505,101.42067948977153
quiescence_0011,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,5,2,20,0.6,0.001,0.05,0.1,0.3,MIXED,MIXED,20,1.0,288.6333333333334,312.46666666666664,562.0999999999999,280.6333333333333,314.63333333333327,426.8666666666666,483.3333333333333,547.6666666666666,998.0,541.3333333333334,806.3333333333334,1475.6666666666667,267.0,286.3333333333333,513.6666666666666,251.66666666666666,260.0,310.3333333333333,17.77909262975057,25.5001703898112,48.49981848398844,33.20153562227885,57.05248244603475,104.47513620058696
